Land_ID,Location,State,District,Land_Type,Area_Acres,Current_Price_Per_Acre,Total_Value,Year_Purchased,Distance_to_Highway_KM,Distance_to_City_KM,Distance_to_Airport_KM,Water_Availability,Electricity_Availability,Zoning,Annual_Appreciation_Percent,Risk_Score,Market_Demand_Index,Expected_ROI_5Y,Population_Growth_Rate,Infrastructure_Score,Flood_Risk,Rental_Yield_Percent,Government_Project_Score,Road_Connectivity_Score,Last_Updated
L00988,Chennai,Tamil Nadu,Chennai,Residential,13.52,6752545,91294408.4,2020,10.8,62.9,25.7,No,No,Mixed Use,23.41,1,52,68,5.57,75,3,11.22,95,83,2026-05-29
L00989,Cuttack,Odisha,Cuttack,Residential,17.24,7018346,120996285.04,2021,19.5,15.4,41.6,Yes,Yes,Agricultural,9.27,1,56,150,4.65,66,3,1.5,71,56,2026-05-29
L00990,Hyderabad,Telangana,Hyderabad,Residential,7.64,3082312,23548863.68,2020,43.7,26.1,60.8,No,No,Industrial,3.79,3,62,56,3.21,91,5,10.26,77,48,2026-05-29
L00991,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,23.1,2717380,62771478.0,2016,21.7,28.6,82.9,Yes,Yes,Industrial,20.13,3,63,98,4.47,56,4,2.91,53,84,2026-05-29
L00992,Hyderabad,Telangana,Hyderabad,Agricultural,22.86,13750968,314347128.48,2020,11.1,1.3,71.6,No,Yes,Commercial,14.7,5,89,137,0.75,92,4,5.85,70,85,2026-05-29
L00993,Hyderabad,Telangana,Hyderabad,Agricultural,15.3,6957082,106443354.6,2020,43.5,17.2,31.0,No,Yes,Residential,8.94,1,69,116,1.64,50,4,8.35,53,70,2026-05-29
L00994,Sambalpur,Odisha,Sambalpur,Commercial,20.76,3852885,79985892.6,2015,26.3,75.3,61.2,No,Yes,Commercial,23.36,2,83,71,3.87,90,4,9.36,63,93,2026-05-29
L00995,Bhubaneswar,Odisha,Khordha,Agricultural,1.41,14265314,20114092.74,2019,28.4,23.4,3.4,No,No,Agricultural,6.48,4,58,126,3.01,85,1,2.22,84,71,2026-05-29
L00996,Chennai,Tamil Nadu,Chennai,Residential,8.95,7341619,65707490.05,2018,1.0,48.4,12.2,Yes,Yes,Commercial,8.8,5,81,37,3.97,56,4,1.91,99,79,2026-05-29
L00997,Bhubaneswar,Odisha,Khordha,Industrial,13.76,4825503,66398921.28,2025,36.4,49.5,15.3,No,No,Residential,21.61,3,50,68,5.41,51,1,8.52,95,63,2026-05-29
L00998,Pune,Maharashtra,Pune,Commercial,24.09,11753701,283146657.09,2022,48.8,44.5,13.5,No,Yes,Residential,4.35,2,61,83,1.99,58,4,11.56,42,40,2026-05-29
L00999,Sambalpur,Odisha,Sambalpur,Commercial,9.0,6117981,55061829.0,2021,5.2,3.0,33.2,No,Yes,Industrial,9.39,3,97,150,1.03,78,2,9.66,68,80,2026-05-29
L01000,Cuttack,Odisha,Cuttack,Commercial,10.34,4680715,48398593.1,2015,25.6,55.8,106.5,No,Yes,Industrial,22.84,1,49,89,3.06,95,5,1.07,55,93,2026-05-29
L01001,Bhubaneswar,Odisha,Khordha,Residential,23.64,1503904,35552290.56,2023,29.5,57.2,38.7,No,Yes,Residential,19.09,3,98,43,5.55,53,2,7.7,40,44,2026-05-29
L01002,Puri,Odisha,Puri,Commercial,6.58,9143859,60166592.22,2016,46.0,51.3,104.9,Yes,Yes,Commercial,7.01,2,40,41,3.42,40,2,5.63,73,83,2026-05-29
L01003,Hyderabad,Telangana,Hyderabad,Commercial,14.08,8609891,121227265.28,2024,25.6,11.2,117.2,No,Yes,Industrial,11.9,5,88,84,5.42,86,1,10.94,50,91,2026-05-29
L01004,Pune,Maharashtra,Pune,Industrial,9.89,12132881,119994193.09,2026,3.6,53.3,22.5,Yes,Yes,Residential,20.18,3,62,91,1.63,40,2,6.66,49,88,2026-05-29
L01005,Bhubaneswar,Odisha,Khordha,Residential,8.26,6647280,54906532.8,2019,9.7,67.8,116.1,Yes,Yes,Residential,7.89,3,86,73,5.47,40,5,7.49,51,67,2026-05-29
L01006,Rourkela,Odisha,Sundargarh,Agricultural,1.07,561441,600741.87,2020,22.8,78.7,77.0,No,Yes,Mixed Use,8.99,2,79,93,3.63,61,5,6.29,46,80,2026-05-29
L01007,Bengaluru,Karnataka,Bengaluru Urban,Residential,17.76,1381640,24537926.4,2020,17.0,67.9,61.2,No,No,Industrial,20.24,2,45,94,2.47,45,5,3.94,73,86,2026-05-29
L01008,Sambalpur,Odisha,Sambalpur,Industrial,20.38,2119505,43195511.9,2025,33.9,63.6,24.6,No,Yes,Commercial,12.04,3,50,59,3.2,70,2,9.43,66,53,2026-05-29
L01009,Cuttack,Odisha,Cuttack,Residential,2.08,7002975,14566188.0,2018,7.2,79.9,31.5,No,Yes,Industrial,12.53,1,43,136,2.33,97,3,6.49,43,78,2026-05-29
L01010,Bhubaneswar,Odisha,Khordha,Commercial,7.79,6635337,51689275.23,2020,14.0,8.3,13.8,Yes,Yes,Agricultural,20.38,3,92,28,2.24,77,4,5.84,77,83,2026-05-29
L01011,Pune,Maharashtra,Pune,Agricultural,12.47,14236379,177527646.13,2020,27.2,76.2,70.3,No,No,Residential,15.88,4,50,45,0.54,83,2,6.26,68,50,2026-05-29
L01012,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Industrial,8.97,779121,6988715.37,2021,40.8,47.7,100.8,No,Yes,Commercial,18.82,2,57,51,2.6,91,2,4.83,70,56,2026-05-29
L01013,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Commercial,1.76,8847283,15571218.08,2023,15.6,41.8,27.7,No,Yes,Mixed Use,11.38,1,44,115,5.32,54,2,5.66,81,100,2026-05-29
L01014,Cuttack,Odisha,Cuttack,Commercial,9.05,822994,7448095.7,2018,35.8,78.5,86.3,No,Yes,Agricultural,16.83,5,71,142,4.9,46,1,9.72,51,76,2026-05-29
L01015,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Industrial,22.44,1319706,29614202.64,2023,44.7,78.7,49.8,No,Yes,Industrial,15.71,5,50,107,2.15,64,5,4.55,85,60,2026-05-29
L01016,Puri,Odisha,Puri,Residential,21.65,3038519,65783936.35,2022,20.6,22.8,27.0,No,Yes,Agricultural,5.8,3,55,64,4.51,45,4,9.03,82,97,2026-05-29
L01017,Chennai,Tamil Nadu,Chennai,Commercial,9.64,11917976,114889288.64,2019,10.5,46.5,78.9,Yes,Yes,Residential,15.2,3,69,94,3.54,56,2,9.89,67,59,2026-05-29
L01018,Chennai,Tamil Nadu,Chennai,Industrial,7.92,5146544,40760628.48,2020,45.9,25.0,102.2,Yes,Yes,Industrial,16.76,3,51,148,2.23,60,1,1.95,73,83,2026-05-29
L01019,Bhubaneswar,Odisha,Khordha,Agricultural,11.03,12437568,137186375.04,2015,26.7,30.1,71.3,Yes,Yes,Commercial,12.64,3,83,112,3.08,92,4,1.16,70,47,2026-05-29
L01020,Cuttack,Odisha,Cuttack,Industrial,6.57,9207278,60491816.46,2023,38.6,43.5,82.5,Yes,Yes,Mixed Use,21.41,5,66,148,4.29,99,3,2.57,99,73,2026-05-29
L01021,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,8.17,4239520,34636878.4,2020,35.4,62.5,32.2,Yes,No,Agricultural,9.06,4,91,29,3.05,85,4,8.4,93,65,2026-05-29
L01022,Puri,Odisha,Puri,Agricultural,12.32,3472010,42775163.2,2022,8.5,14.3,43.2,No,No,Commercial,12.36,3,46,149,2.39,90,3,11.32,76,44,2026-05-29
L01023,Sambalpur,Odisha,Sambalpur,Commercial,21.31,10563630,225110955.3,2020,8.3,1.0,106.6,Yes,No,Residential,20.21,3,48,129,2.03,48,4,8.69,72,77,2026-05-29
L01024,Chennai,Tamil Nadu,Chennai,Commercial,22.28,9894013,220438609.64,2015,16.4,34.8,46.5,Yes,Yes,Industrial,6.99,5,54,129,5.32,88,3,4.82,51,58,2026-05-29
L01025,Bengaluru,Karnataka,Bengaluru Urban,Commercial,4.96,8664240,42974630.4,2021,41.6,3.5,64.0,No,Yes,Mixed Use,18.03,4,93,148,3.15,79,2,8.72,61,90,2026-05-29
L01026,Bengaluru,Karnataka,Bengaluru Urban,Commercial,22.21,10814813,240196996.73,2023,18.8,71.9,116.4,Yes,No,Agricultural,24.3,4,70,143,5.09,60,1,9.49,64,55,2026-05-29
L01027,Bengaluru,Karnataka,Bengaluru Urban,Industrial,19.74,4927200,97262928.0,2026,18.5,18.8,93.3,No,Yes,Mixed Use,15.78,3,92,94,2.68,75,5,6.48,69,42,2026-05-29
L01028,Sambalpur,Odisha,Sambalpur,Agricultural,22.8,9382593,213923120.4,2022,28.6,74.8,35.0,No,No,Commercial,20.99,2,59,119,1.47,62,4,3.31,89,91,2026-05-29
L01029,Bhubaneswar,Odisha,Khordha,Industrial,15.89,11895248,189015490.72,2018,24.7,24.0,52.3,Yes,Yes,Commercial,9.84,3,41,78,1.98,45,4,2.67,89,52,2026-05-29
L01030,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,12.93,9014158,116553062.94,2026,11.8,50.5,41.5,Yes,Yes,Industrial,18.36,4,84,100,2.86,47,2,3.05,55,89,2026-05-29
L01031,Bhubaneswar,Odisha,Khordha,Industrial,2.01,8481930,17048679.3,2018,9.2,13.6,3.9,Yes,No,Mixed Use,7.17,4,60,113,5.7,56,5,11.31,77,41,2026-05-29
L01032,Pune,Maharashtra,Pune,Agricultural,7.71,688889,5311334.19,2017,34.8,60.7,112.1,No,Yes,Residential,8.62,3,52,38,3.64,52,4,8.14,66,97,2026-05-29
L01033,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,11.84,2583137,30584342.08,2022,29.0,68.3,32.4,No,Yes,Mixed Use,7.17,2,75,138,3.19,94,5,7.1,41,77,2026-05-29
L01034,Rourkela,Odisha,Sundargarh,Industrial,16.69,12562673,209671012.37,2025,22.5,77.7,61.1,No,Yes,Residential,21.97,3,49,145,3.88,90,5,10.14,49,47,2026-05-29
L01035,Pune,Maharashtra,Pune,Agricultural,4.0,8070416,32281664.0,2022,11.5,57.4,106.2,Yes,No,Industrial,21.6,5,92,132,1.5,89,4,9.36,81,97,2026-05-29
L01036,Pune,Maharashtra,Pune,Residential,5.75,3107889,17870361.75,2020,29.7,70.2,18.8,No,No,Mixed Use,6.77,4,53,144,1.19,72,5,8.71,61,91,2026-05-29
L01037,Chennai,Tamil Nadu,Chennai,Commercial,2.24,9627067,21564630.08,2017,30.2,9.2,114.5,No,No,Mixed Use,4.69,2,83,70,4.53,59,2,4.03,85,76,2026-05-29
L01038,Rourkela,Odisha,Sundargarh,Commercial,7.0,8950803,62655621.0,2021,13.6,79.1,2.3,Yes,Yes,Industrial,22.86,4,43,44,3.63,84,3,5.07,63,96,2026-05-29
L01039,Bhubaneswar,Odisha,Khordha,Residential,1.28,4547002,5820162.56,2026,43.0,74.3,16.2,No,No,Mixed Use,19.07,2,48,118,1.98,50,2,4.81,97,41,2026-05-29
L01040,Pune,Maharashtra,Pune,Commercial,23.95,13813251,330827361.45,2024,42.9,73.2,105.7,No,No,Residential,17.82,1,79,78,0.82,51,1,6.69,88,61,2026-05-29
L01041,Pune,Maharashtra,Pune,Agricultural,12.92,1075304,13892927.68,2018,32.8,70.2,96.8,Yes,Yes,Industrial,19.15,1,67,47,1.66,76,2,7.93,95,85,2026-05-29
L01042,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,6.1,9871059,60213459.9,2021,5.9,76.5,44.1,Yes,Yes,Agricultural,10.09,5,70,21,1.93,56,3,5.15,48,65,2026-05-29
L01043,Chennai,Tamil Nadu,Chennai,Commercial,17.95,9738496,174806003.2,2015,22.0,17.2,78.2,Yes,Yes,Commercial,3.27,4,77,87,4.55,44,5,9.83,82,40,2026-05-29
L01044,Bengaluru,Karnataka,Bengaluru Urban,Residential,15.02,4440774,66700425.48,2019,32.1,68.9,59.7,No,Yes,Commercial,20.96,5,97,31,0.84,73,5,5.42,49,67,2026-05-29
L01045,Rourkela,Odisha,Sundargarh,Industrial,17.9,8366391,149758398.9,2022,21.1,8.8,9.7,No,No,Residential,10.64,3,100,124,2.78,46,4,9.13,61,84,2026-05-29
L01046,Bhubaneswar,Odisha,Khordha,Industrial,13.2,8021219,105880090.8,2023,37.9,52.6,100.6,Yes,No,Mixed Use,14.96,1,76,98,3.89,42,2,6.47,76,56,2026-05-29
L01047,Bhubaneswar,Odisha,Khordha,Commercial,10.5,14060672,147637056.0,2023,8.4,2.4,44.6,No,No,Industrial,3.19,2,66,142,4.11,57,5,10.59,55,56,2026-05-29
L01048,Bhubaneswar,Odisha,Khordha,Commercial,19.09,6294293,120158053.37,2021,6.3,19.2,114.2,No,No,Mixed Use,16.96,1,72,140,3.5,48,2,2.1,71,91,2026-05-29
L01049,Cuttack,Odisha,Cuttack,Commercial,23.6,1401841,33083447.6,2019,14.0,27.3,96.5,No,No,Commercial,8.41,2,51,57,4.43,98,5,4.72,68,70,2026-05-29
L01050,Rourkela,Odisha,Sundargarh,Industrial,2.18,13862984,30221305.12,2019,45.8,61.1,47.3,No,Yes,Industrial,22.64,4,78,104,5.21,75,5,2.04,87,60,2026-05-29
L01051,Bengaluru,Karnataka,Bengaluru Urban,Industrial,8.76,5156454,45170537.04,2018,35.5,50.2,69.0,Yes,No,Residential,16.31,1,41,40,4.89,56,2,1.85,61,87,2026-05-29
L01052,Rourkela,Odisha,Sundargarh,Residential,12.64,6524505,82469743.2,2026,17.3,42.9,16.4,No,No,Commercial,11.34,2,95,71,3.12,100,2,4.55,75,86,2026-05-29
L01053,Rourkela,Odisha,Sundargarh,Industrial,10.92,6920288,75569544.96,2020,7.7,78.0,83.2,Yes,Yes,Residential,7.3,1,55,44,3.45,67,3,5.19,40,85,2026-05-29
L01054,Bhubaneswar,Odisha,Khordha,Industrial,9.28,3753823,34835477.44,2023,3.8,77.0,96.5,No,Yes,Mixed Use,17.15,1,97,147,1.5,92,4,4.07,64,78,2026-05-29
L01055,Sambalpur,Odisha,Sambalpur,Residential,11.65,1404601,16363601.65,2018,7.2,1.8,48.4,Yes,No,Agricultural,24.05,5,69,57,2.11,83,5,2.19,54,55,2026-05-29
L01056,Rourkela,Odisha,Sundargarh,Residential,11.06,1527263,16891528.78,2019,35.5,48.0,27.3,Yes,Yes,Industrial,20.64,1,54,106,3.17,76,5,5.82,48,71,2026-05-29
L01057,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,18.17,11110671,201880892.07,2022,18.6,59.3,44.1,No,No,Industrial,17.65,3,55,110,0.72,96,1,3.19,52,93,2026-05-29
L01058,Hyderabad,Telangana,Hyderabad,Residential,2.57,1693626,4352618.82,2016,40.5,48.6,14.1,Yes,No,Mixed Use,4.25,3,72,137,2.59,77,5,9.55,92,48,2026-05-29
L01059,Sambalpur,Odisha,Sambalpur,Residential,8.81,8646209,76173101.29,2023,4.9,47.6,100.3,Yes,No,Industrial,18.75,1,53,150,0.98,98,4,4.52,40,93,2026-05-29
L01060,Rourkela,Odisha,Sundargarh,Agricultural,21.38,3687861,78846468.18,2018,28.6,39.4,74.7,No,Yes,Mixed Use,24.12,3,44,100,5.59,45,3,3.72,72,58,2026-05-29
L01061,Puri,Odisha,Puri,Residential,22.26,5681007,126459215.82,2026,0.7,48.5,90.7,Yes,Yes,Residential,23.88,5,66,109,4.5,91,2,9.71,83,71,2026-05-29
L01062,Puri,Odisha,Puri,Agricultural,21.64,9918154,214628852.56,2023,13.3,9.9,94.3,No,Yes,Commercial,20.25,4,81,53,5.47,42,2,10.98,56,70,2026-05-29
L01063,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,7.35,10876661,79943458.35,2021,42.7,72.5,21.6,No,Yes,Residential,15.6,5,61,56,2.93,87,4,8.5,44,55,2026-05-29
L01064,Puri,Odisha,Puri,Industrial,22.4,9608451,215229302.4,2017,16.0,49.1,27.2,No,No,Residential,13.61,1,52,109,5.08,98,4,8.96,76,61,2026-05-29
L01065,Sambalpur,Odisha,Sambalpur,Residential,3.33,1814038,6040746.54,2018,6.5,31.8,21.3,Yes,Yes,Mixed Use,21.25,3,74,25,5.59,99,5,7.02,58,87,2026-05-29
L01066,Puri,Odisha,Puri,Residential,22.03,14738852,324696909.56,2024,7.2,64.6,77.1,Yes,Yes,Residential,5.99,5,85,89,1.73,86,5,5.22,58,97,2026-05-29
L01067,Puri,Odisha,Puri,Industrial,6.77,12582267,85181947.59,2026,36.0,50.2,2.7,No,No,Mixed Use,14.34,5,67,145,4.26,43,4,8.34,76,97,2026-05-29
L01068,Bhubaneswar,Odisha,Khordha,Agricultural,18.34,1367959,25088368.06,2022,33.8,53.4,63.3,No,Yes,Residential,5.39,3,84,69,3.88,76,3,10.97,76,72,2026-05-29
L01069,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Industrial,22.22,2935920,65236142.4,2024,26.7,20.1,35.1,Yes,Yes,Mixed Use,5.62,5,75,46,5.74,64,4,8.43,79,86,2026-05-29
L01070,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,21.96,3030273,66544795.08,2021,24.7,40.0,14.6,Yes,No,Industrial,23.66,1,86,119,3.72,97,3,8.08,45,67,2026-05-29
L01071,Rourkela,Odisha,Sundargarh,Industrial,24.57,2574024,63243769.68,2021,15.3,20.6,15.5,No,Yes,Commercial,8.26,3,75,50,0.53,83,5,10.99,49,100,2026-05-29
L01072,Rourkela,Odisha,Sundargarh,Residential,7.78,14379677,111873887.06,2019,47.5,37.1,77.7,No,Yes,Industrial,22.01,2,87,150,2.24,48,5,11.55,89,70,2026-05-29
L01073,Hyderabad,Telangana,Hyderabad,Industrial,5.88,4567506,26856935.28,2023,26.2,25.4,28.7,Yes,No,Agricultural,20.68,3,85,115,2.27,90,2,11.85,72,49,2026-05-29
L01074,Rourkela,Odisha,Sundargarh,Industrial,15.73,7999248,125828171.04,2022,3.7,14.0,119.2,No,No,Commercial,17.45,2,84,63,2.0,46,2,2.03,97,82,2026-05-29
L01075,Bhubaneswar,Odisha,Khordha,Commercial,16.61,9900177,164441939.97,2023,44.5,10.2,98.9,Yes,No,Mixed Use,9.33,2,91,56,5.87,100,4,9.23,59,51,2026-05-29
L01076,Puri,Odisha,Puri,Residential,9.43,1964390,18524197.7,2019,11.4,67.6,74.9,No,No,Industrial,7.48,1,81,150,5.59,97,4,9.96,100,99,2026-05-29
L01077,Bhubaneswar,Odisha,Khordha,Industrial,5.89,11821735,69630019.15,2015,24.4,37.1,43.3,No,Yes,Commercial,8.72,5,66,79,5.76,82,3,8.64,81,48,2026-05-29
L01078,Hyderabad,Telangana,Hyderabad,Agricultural,20.6,5923945,122033267.0,2019,5.4,29.1,13.2,Yes,Yes,Agricultural,10.9,2,44,113,4.45,93,1,3.23,57,100,2026-05-29
L01079,Bhubaneswar,Odisha,Khordha,Residential,3.9,10411693,40605602.7,2016,8.2,7.0,7.5,No,No,Agricultural,11.49,1,87,93,4.87,41,1,5.78,57,94,2026-05-29
L01080,Rourkela,Odisha,Sundargarh,Agricultural,9.29,1774510,16485197.9,2016,13.5,57.7,65.9,No,Yes,Commercial,4.95,4,89,106,3.88,45,5,7.78,94,97,2026-05-29
L01081,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Agricultural,16.55,9764618,161604427.9,2023,20.6,38.2,14.2,Yes,Yes,Industrial,22.38,5,59,121,0.77,90,2,4.37,54,84,2026-05-29
L01082,Hyderabad,Telangana,Hyderabad,Residential,23.84,7993218,190558317.12,2026,19.7,21.6,87.3,No,Yes,Residential,11.07,3,90,32,4.6,86,3,9.87,97,50,2026-05-29
L01083,Bhubaneswar,Odisha,Khordha,Residential,4.2,6642402,27898088.4,2019,20.5,68.1,22.8,No,Yes,Commercial,7.22,5,45,93,5.65,46,1,7.33,62,40,2026-05-29
L01084,Bengaluru,Karnataka,Bengaluru Urban,Agricultural,6.47,9851941,63742058.27,2016,47.7,20.3,26.9,No,No,Mixed Use,8.02,2,49,27,4.4,66,3,4.06,95,66,2026-05-29
L01085,Rourkela,Odisha,Sundargarh,Commercial,15.56,13458928,209420919.68,2023,2.0,52.8,81.3,No,No,Residential,21.62,2,43,96,3.89,64,5,10.56,45,58,2026-05-29
L01086,Cuttack,Odisha,Cuttack,Industrial,11.59,13004870,150726443.3,2023,4.0,79.5,62.0,Yes,No,Residential,16.94,4,100,46,5.2,76,4,5.22,97,98,2026-05-29
L01087,Hyderabad,Telangana,Hyderabad,Agricultural,5.19,1079988,5605137.72,2024,4.3,67.4,43.2,No,No,Commercial,4.97,4,54,137,5.02,48,4,3.13,76,42,2026-05-29
L01088,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,11.56,4133346,47781479.76,2026,25.9,60.6,16.6,Yes,Yes,Industrial,21.04,5,41,95,1.45,53,3,3.41,95,43,2026-05-29
L01089,Chennai,Tamil Nadu,Chennai,Industrial,6.8,4302641,29257958.8,2018,29.0,32.8,85.4,Yes,No,Residential,14.17,3,40,104,0.81,80,1,5.64,67,92,2026-05-29
L01090,Cuttack,Odisha,Cuttack,Commercial,23.86,5299579,126447954.94,2017,28.2,53.8,87.0,No,Yes,Agricultural,19.62,4,92,136,0.6,47,2,3.38,58,66,2026-05-29
L01091,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,17.74,4160359,73804768.66,2025,30.3,72.6,70.6,Yes,Yes,Agricultural,24.99,1,45,84,2.09,94,1,8.04,77,48,2026-05-29
L01092,Rourkela,Odisha,Sundargarh,Residential,1.56,4651099,7255714.44,2024,10.3,73.1,27.6,Yes,No,Agricultural,22.78,4,45,96,4.0,56,5,11.48,81,95,2026-05-29
L01093,Pune,Maharashtra,Pune,Industrial,6.01,8032221,48273648.21,2021,23.1,77.7,74.7,Yes,No,Residential,16.15,4,57,82,4.22,76,3,6.95,98,88,2026-05-29
L01094,Bhubaneswar,Odisha,Khordha,Industrial,10.55,6898703,72781316.65,2020,15.2,8.2,108.9,Yes,Yes,Agricultural,9.29,2,47,26,1.52,56,2,3.6,47,43,2026-05-29
L01095,Pune,Maharashtra,Pune,Agricultural,13.49,3037643,40977804.07,2015,25.3,73.3,72.5,Yes,No,Industrial,22.86,2,73,34,1.0,42,4,1.13,45,43,2026-05-29
L01096,Hyderabad,Telangana,Hyderabad,Residential,23.14,10652782,246505375.48,2022,3.8,66.1,13.4,No,No,Agricultural,3.21,1,49,113,1.61,72,1,7.02,53,54,2026-05-29
L01097,Sambalpur,Odisha,Sambalpur,Residential,17.89,12370141,221301822.49,2020,44.2,71.0,45.7,Yes,No,Industrial,5.6,2,59,43,1.22,42,4,9.36,88,61,2026-05-29
L01098,Rourkela,Odisha,Sundargarh,Residential,5.82,8831489,51399265.98,2017,2.7,39.5,107.1,Yes,Yes,Mixed Use,13.36,1,97,65,2.66,96,2,1.43,42,52,2026-05-29
L01099,Rourkela,Odisha,Sundargarh,Industrial,23.54,7422066,174715433.64,2015,4.5,21.0,91.8,Yes,Yes,Mixed Use,15.3,3,67,149,3.87,57,2,1.91,61,72,2026-05-29
L01100,Sambalpur,Odisha,Sambalpur,Residential,16.25,7462357,121263301.25,2017,0.8,80.0,17.4,No,Yes,Agricultural,12.9,2,99,117,1.06,63,1,8.84,51,92,2026-05-29
L01101,Bengaluru,Karnataka,Bengaluru Urban,Commercial,16.71,6452837,107826906.27,2016,19.4,68.8,111.6,Yes,Yes,Commercial,18.68,1,94,123,5.6,83,5,3.96,83,45,2026-05-29
L01102,Chennai,Tamil Nadu,Chennai,Agricultural,8.9,5380802,47889137.8,2025,38.6,54.1,59.9,Yes,No,Commercial,13.45,4,50,130,5.72,67,1,8.86,42,54,2026-05-29
L01103,Cuttack,Odisha,Cuttack,Agricultural,20.0,4153861,83077220.0,2025,33.9,37.2,46.1,No,Yes,Residential,6.89,5,74,30,5.01,73,1,9.86,58,93,2026-05-29
L01104,Hyderabad,Telangana,Hyderabad,Residential,24.59,6443778,158452501.02,2023,49.2,37.8,102.5,No,No,Agricultural,4.33,1,60,48,1.38,78,1,11.9,93,77,2026-05-29
L01105,Hyderabad,Telangana,Hyderabad,Agricultural,19.61,7308538,143320430.18,2018,28.9,10.5,79.5,No,Yes,Commercial,14.73,5,70,31,3.49,79,4,7.58,99,69,2026-05-29
L01106,Sambalpur,Odisha,Sambalpur,Industrial,15.22,5340685,81285225.7,2023,19.5,53.9,20.1,Yes,No,Residential,17.3,5,51,48,4.87,96,5,8.09,44,73,2026-05-29
L01107,Bhubaneswar,Odisha,Khordha,Agricultural,7.14,2604316,18594816.24,2017,19.4,61.7,69.3,Yes,Yes,Agricultural,11.35,2,84,116,3.16,52,2,7.01,94,62,2026-05-29
L01108,Cuttack,Odisha,Cuttack,Industrial,22.94,8012901,183815948.94,2022,43.7,47.8,108.1,No,Yes,Agricultural,19.47,5,88,43,3.0,89,3,8.82,93,93,2026-05-29
L01109,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,8.45,9786065,82692249.25,2019,17.5,47.9,96.8,Yes,Yes,Residential,19.55,5,45,118,5.83,50,2,7.86,98,68,2026-05-29
L01110,Bengaluru,Karnataka,Bengaluru Urban,Industrial,9.14,7442351,68023088.14,2018,33.1,75.0,74.5,Yes,Yes,Residential,13.08,2,50,49,4.93,64,5,1.77,80,92,2026-05-29
L01111,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Residential,0.91,7929805,7216122.55,2023,15.2,69.2,2.9,No,No,Commercial,6.0,2,82,150,5.86,50,5,10.5,65,59,2026-05-29
L01112,Pune,Maharashtra,Pune,Agricultural,5.54,14441763,80007367.02,2016,3.9,49.7,7.8,Yes,Yes,Mixed Use,22.47,4,46,102,3.76,97,3,6.31,60,49,2026-05-29
L01113,Sambalpur,Odisha,Sambalpur,Agricultural,18.52,4402139,81527614.28,2020,21.1,72.9,13.3,No,Yes,Agricultural,23.1,3,95,132,3.5,42,5,3.11,95,72,2026-05-29
L01114,Bhubaneswar,Odisha,Khordha,Industrial,16.64,12833655,213552019.2,2023,47.3,36.6,112.6,Yes,No,Agricultural,7.63,5,67,41,3.1,59,1,2.92,69,99,2026-05-29
L01115,Puri,Odisha,Puri,Industrial,21.67,2665279,57756595.93,2024,36.8,22.0,33.4,Yes,No,Industrial,18.96,2,69,57,5.14,56,2,1.69,58,73,2026-05-29
L01116,Rourkela,Odisha,Sundargarh,Industrial,1.86,6424021,11948679.06,2025,23.9,23.3,12.9,Yes,No,Agricultural,24.58,3,56,36,4.42,73,2,6.8,62,83,2026-05-29
L01117,Pune,Maharashtra,Pune,Commercial,6.01,14011665,84210106.65,2023,42.8,76.2,78.9,Yes,Yes,Agricultural,3.08,3,59,53,5.74,83,4,1.81,44,100,2026-05-29
L01118,Cuttack,Odisha,Cuttack,Commercial,22.51,7724447,173877301.97,2016,5.8,2.7,99.0,No,No,Commercial,16.9,4,92,109,0.92,78,1,8.55,77,97,2026-05-29
L01119,Chennai,Tamil Nadu,Chennai,Agricultural,18.53,2512622,46558885.66,2016,23.2,59.1,71.7,No,Yes,Commercial,13.09,1,55,67,1.56,98,2,3.47,49,61,2026-05-29
L01120,Puri,Odisha,Puri,Agricultural,15.18,8440098,128120687.64,2025,19.0,38.6,44.8,Yes,No,Industrial,10.14,4,76,75,4.02,46,5,2.98,92,55,2026-05-29
L01121,Cuttack,Odisha,Cuttack,Industrial,8.11,12570780,101949025.8,2019,12.1,50.3,60.6,No,Yes,Industrial,10.82,5,80,26,3.12,99,1,2.33,83,73,2026-05-29
L01122,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Agricultural,1.61,12009730,19335665.3,2015,36.2,77.4,77.6,No,Yes,Industrial,22.24,5,65,120,0.61,90,2,6.16,78,78,2026-05-29
